PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
2,1,1,38.0,1,0,71.2833,1,0,1,0,0
4,1,1,35.0,1,0,53.1,1,0,0,0,1
7,0,1,54.0,0,0,51.8625,0,1,0,0,1
11,1,3,4.0,1,1,16.7,1,0,0,0,1
12,1,1,58.0,0,0,26.55,1,0,0,0,1
22,1,2,34.0,0,0,13.0,0,1,0,0,1
24,1,1,28.0,0,0,35.5,0,1,0,0,1
28,0,1,19.0,3,2,263.0,0,1,0,0,1
32,1,1,29.69911764705882,1,0,146.5208,1,0,1,0,0
53,1,1,49.0,1,0,76.7292,1,0,1,0,0
55,0,1,65.0,0,1,61.9792,0,1,1,0,0
56,1,1,29.69911764705882,0,0,35.5,0,1,0,0,1
62,1,1,38.0,0,0,80.0,1,0,0,0,1
63,0,1,45.0,1,0,83.475,0,1,0,0,1
67,1,2,29.0,0,0,10.5,1,0,0,0,1
76,0,3,25.0,0,0,7.65,0,1,0,0,1
89,1,1,23.0,3,2,263.0,1,0,0,0,1
93,0,1,46.0,1,0,61.175,0,1,0,0,1
97,0,1,71.0,0,0,34.6542,0,1,1,0,0
98,1,1,23.0,0,1,63.3583,0,1,1,0,0
103,0,1,21.0,0,1,77.2875,0,1,0,0,1
111,0,1,47.0,0,0,52.0,0,1,0,0,1
119,0,1,24.0,0,1,247.5208,0,1,1,0,0
124,1,2,32.5,0,0,13.0,1,0,0,0,1
125,0,1,54.0,0,1,77.2875,0,1,0,0,1
129,1,3,29.69911764705882,1,1,22.3583,1,0,1,0,0
137,1,1,19.0,0,2,26.2833,1,0,0,0,1
138,0,1,37.0,1,0,53.1,0,1,0,0,1
140,0,1,24.0,0,0,79.2,0,1,1,0,0
149,0,2,36.5,0,2,26.0,0,1,0,0,1
152,1,1,22.0,1,0,66.6,1,0,0,0,1
167,1,1,29.69911764705882,0,1,55.0,1,0,0,0,1
171,0,1,61.0,0,0,33.5,0,1,0,0,1
175,0,1,56.0,0,0,30.6958,0,1,1,0,0
178,0,1,50.0,0,0,28.7125,1,0,1,0,0
184,1,2,1.0,2,1,39.0,0,1,0,0,1
186,0,1,29.69911764705882,0,0,50.0,0,1,0,0,1
194,1,2,3.0,1,1,26.0,0,1,0,0,1
195,1,1,44.0,0,0,27.7208,1,0,1,0,0
196,1,1,58.0,0,0,146.5208,1,0,1,0,0
206,0,3,2.0,0,1,10.4625,1,0,0,0,1
210,1,1,40.0,0,0,31.0,0,1,1,0,0
216,1,1,31.0,1,0,113.275,1,0,1,0,0
219,1,1,32.0,0,0,76.2917,1,0,1,0,0
225,1,1,38.0,1,0,90.0,0,1,0,0,1
231,1,1,35.0,1,0,83.475,1,0,0,0,1
246,0,1,44.0,2,0,90.0,0,1,0,1,0
249,1,1,37.0,1,1,52.5542,0,1,0,0,1
252,0,3,29.0,1,1,10.4625,1,0,0,0,1
253,0,1,62.0,0,0,26.55,0,1,0,0,1
258,1,1,30.0,0,0,86.5,1,0,0,0,1
263,0,1,52.0,1,1,79.65,0,1,0,0,1
264,0,1,40.0,0,0,0.0,0,1,0,0,1
269,1,1,58.0,0,1,153.4625,1,0,0,0,1
270,1,1,35.0,0,0,135.6333,1,0,0,0,1
274,0,1,37.0,0,1,29.7,0,1,1,0,0
276,1,1,63.0,1,0,77.9583,1,0,0,0,1
285,0,1,29.69911764705882,0,0,26.0,0,1,0,0,1
292,1,1,19.0,1,0,91.0792,1,0,1,0,0
293,0,2,36.0,0,0,12.875,0,1,1,0,0
298,0,1,2.0,1,2,151.55,1,0,0,0,1
299,1,1,29.69911764705882,0,0,30.5,0,1,0,0,1
300,1,1,50.0,0,1,247.5208,1,0,1,0,0
304,1,2,29.69911764705882,0,0,12.35,1,0,0,1,0
306,1,1,0.92,1,2,151.55,0,1,0,0,1
308,1,1,17.0,1,0,108.9,1,0,1,0,0
310,1,1,30.0,0,0,56.9292,1,0,1,0,0
311,1,1,24.0,0,0,83.1583,1,0,1,0,0
312,1,1,18.0,2,2,262.375,1,0,1,0,0
319,1,1,31.0,0,2,164.8667,1,0,0,0,1
320,1,1,40.0,1,1,134.5,1,0,1,0,0
326,1,1,36.0,0,0,135.6333,1,0,1,0,0
328,1,2,36.0,0,0,13.0,1,0,0,0,1
330,1,1,16.0,0,1,57.9792,1,0,1,0,0
332,0,1,45.5,0,0,28.5,0,1,0,0,1
333,0,1,38.0,0,1,153.4625,0,1,0,0,1
337,0,1,29.0,1,0,66.6,0,1,0,0,1
338,1,1,41.0,0,0,134.5,1,0,1,0,0
340,0,1,45.0,0,0,35.5,0,1,0,0,1
341,1,2,2.0,1,1,26.0,0,1,0,0,1
342,1,1,24.0,3,2,263.0,1,0,0,0,1
346,1,2,24.0,0,0,13.0,1,0,0,0,1
352,0,1,29.69911764705882,0,0,35.0,0,1,0,0,1
357,1,1,22.0,0,1,55.0,1,0,0,0,1
367,1,1,60.0,1,0,75.25,1,0,1,0,0
370,1,1,24.0,0,0,69.3,1,0,1,0,0
371,1,1,25.0,1,0,55.4417,0,1,1,0,0
378,0,1,27.0,0,2,211.5,0,1,1,0,0
391,1,1,36.0,1,2,120.0,0,1,0,0,1
394,1,1,23.0,1,0,113.275,1,0,1,0,0
395,1,3,24.0,0,2,16.7,1,0,0,0,1
413,1,1,33.0,1,0,90.0,1,0,0,1,0
430,1,3,32.0,0,0,8.05,0,1,0,0,1
431,1,1,28.0,0,0,26.55,0,1,0,0,1
435,0,1,50.0,1,0,55.9,0,1,0,0,1
436,1,1,14.0,1,2,120.0,1,0,0,0,1
439,0,1,64.0,1,4,263.0,0,1,0,0,1
446,1,1,4.0,0,2,81.8583,0,1,0,0,1
450,1,1,52.0,0,0,30.5,0,1,0,0,1
453,0,1,30.0,0,0,27.75,0,1,1,0,0
454,1,1,49.0,1,0,89.1042,0,1,1,0,0
457,0,1,65.0,0,0,26.55,0,1,0,0,1
458,1,1,29.69911764705882,1,0,51.8625,1,0,0,0,1
461,1,1,48.0,0,0,26.55,0,1,0,0,1
463,0,1,47.0,0,0,38.5,0,1,0,0,1
474,1,2,23.0,0,0,13.7917,1,0,1,0,0
476,0,1,29.69911764705882,0,0,52.0,0,1,0,0,1
485,1,1,25.0,1,0,91.0792,0,1,1,0,0
487,1,1,35.0,1,0,90.0,1,0,0,0,1
488,0,1,58.0,0,0,29.7,0,1,1,0,0
493,0,1,55.0,0,0,30.5,0,1,0,0,1
497,1,1,54.0,1,0,78.2667,1,0,1,0,0
499,0,1,25.0,1,2,151.55,1,0,0,0,1
505,1,1,16.0,0,0,86.5,1,0,0,0,1
506,0,1,18.0,1,0,108.9,0,1,1,0,0
513,1,1,36.0,0,0,26.2875,0,1,0,0,1
516,0,1,47.0,0,0,34.0208,0,1,0,0,1
517,1,2,34.0,0,0,10.5,1,0,0,0,1
521,1,1,30.0,0,0,93.5,1,0,0,0,1
524,1,1,44.0,0,1,57.9792,1,0,1,0,0
528,0,1,29.69911764705882,0,0,221.7792,0,1,0,0,1
537,0,1,45.0,0,0,26.55,0,1,0,0,1
540,1,1,22.0,0,2,49.5,1,0,1,0,0
541,1,1,36.0,0,2,71.0,1,0,0,0,1
545,0,1,50.0,1,0,106.425,0,1,1,0,0
551,1,1,17.0,0,2,110.8833,0,1,1,0,0
557,1,1,48.0,1,0,39.6,1,0,1,0,0
559,1,1,39.0,1,1,79.65,1,0,0,0,1
572,1,1,53.0,2,0,51.4792,1,0,0,0,1
573,1,1,36.0,0,0,26.3875,0,1,0,0,1
578,1,1,39.0,1,0,55.9,1,0,0,0,1
582,1,1,39.0,1,1,110.8833,1,0,1,0,0
584,0,1,36.0,0,0,40.125,0,1,1,0,0
586,1,1,18.0,0,2,79.65,1,0,0,0,1
588,1,1,60.0,1,1,79.2,0,1,1,0,0
592,1,1,52.0,1,0,78.2667,1,0,1,0,0
600,1,1,49.0,1,0,56.9292,0,1,1,0,0
610,1,1,40.0,0,0,153.4625,1,0,0,0,1
619,1,2,4.0,2,1,39.0,1,0,0,0,1
622,1,1,42.0,1,0,52.5542,0,1,0,0,1
626,0,1,61.0,0,0,32.3208,0,1,0,0,1
628,1,1,21.0,0,0,77.9583,1,0,0,0,1
631,1,1,80.0,0,0,30.0,0,1,0,0,1
633,1,1,32.0,0,0,30.5,0,1,1,0,0
642,1,1,24.0,0,0,69.3,1,0,1,0,0
646,1,1,48.0,1,0,76.7292,0,1,1,0,0
648,1,1,56.0,0,0,35.5,0,1,1,0,0
660,0,1,58.0,0,2,113.275,0,1,1,0,0
663,0,1,47.0,0,0,25.5875,0,1,0,0,1
670,1,1,29.69911764705882,1,0,52.0,1,0,0,0,1
672,0,1,31.0,1,0,52.0,0,1,0,0,1
680,1,1,36.0,0,1,512.3292,0,1,1,0,0
682,1,1,27.0,0,0,76.7292,0,1,1,0,0
690,1,1,15.0,0,1,211.3375,1,0,0,0,1
691,1,1,31.0,1,0,57.0,0,1,0,0,1
699,0,1,49.0,1,1,110.8833,0,1,1,0,0
700,0,3,42.0,0,0,7.65,0,1,0,0,1
701,1,1,18.0,1,0,227.525,1,0,1,0,0
702,1,1,35.0,0,0,26.2875,0,1,0,0,1
708,1,1,42.0,0,0,26.2875,0,1,0,0,1
711,1,1,24.0,0,0,49.5042,1,0,1,0,0
712,0,1,29.69911764705882,0,0,26.55,0,1,0,0,1
713,1,1,48.0,1,0,52.0,0,1,0,0,1
716,0,3,19.0,0,0,7.65,0,1,0,0,1
717,1,1,38.0,0,0,227.525,1,0,1,0,0
718,1,2,27.0,0,0,10.5,1,0,0,0,1
725,1,1,27.0,1,0,53.1,0,1,0,0,1
731,1,1,29.0,0,0,211.3375,1,0,0,0,1
738,1,1,35.0,0,0,512.3292,0,1,1,0,0
741,1,1,29.69911764705882,0,0,30.0,0,1,0,0,1
742,0,1,36.0,1,0,78.85,0,1,0,0,1
743,1,1,21.0,2,2,262.375,1,0,1,0,0
746,0,1,70.0,1,1,71.0,0,1,0,0,1
749,0,1,19.0,1,0,53.1,0,1,0,0,1
752,1,3,6.0,0,1,12.475,0,1,0,0,1
760,1,1,33.0,0,0,86.5,1,0,0,0,1
764,1,1,36.0,1,2,120.0,1,0,0,0,1
766,1,1,51.0,1,0,77.9583,1,0,0,0,1
773,0,2,57.0,0,0,10.5,1,0,0,0,1
777,0,3,29.69911764705882,0,0,7.75,0,1,0,1,0
780,1,1,43.0,0,1,211.3375,1,0,0,0,1
782,1,1,17.0,1,0,57.0,1,0,0,0,1
783,0,1,29.0,0,0,30.0,0,1,0,0,1
790,0,1,46.0,0,0,79.2,0,1,1,0,0
797,1,1,49.0,0,0,25.9292,1,0,0,0,1
803,1,1,11.0,1,2,120.0,0,1,0,0,1
807,0,1,39.0,0,0,0.0,0,1,0,0,1
810,1,1,33.0,1,0,53.1,1,0,0,0,1
816,0,1,29.69911764705882,0,0,0.0,0,1,0,0,1
821,1,1,52.0,1,1,93.5,1,0,0,0,1
824,1,3,27.0,0,1,12.475,1,0,0,0,1
830,1,1,62.0,0,0,80.0,1,0,0,0,1
836,1,1,39.0,1,1,83.1583,1,0,1,0,0
840,1,1,29.69911764705882,0,0,29.7,0,1,1,0,0
850,1,1,29.69911764705882,1,0,89.1042,1,0,1,0,0
854,1,1,16.0,0,1,39.4,1,0,0,0,1
858,1,1,51.0,0,0,26.55,0,1,0,0,1
863,1,1,48.0,0,0,25.9292,1,0,0,0,1
868,0,1,31.0,0,0,50.4958,0,1,0,0,1
872,1,1,47.0,1,1,52.5542,1,0,0,0,1
873,0,1,33.0,0,0,5.0,0,1,0,0,1
880,1,1,56.0,0,1,83.1583,1,0,1,0,0
888,1,1,19.0,0,0,30.0,1,0,0,0,1
890,1,1,26.0,0,0,30.0,0,1,1,0,0
